Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,28855.109375,29241.800781,28760.669922,28959.589844,28959.589844,2682948700
2019-03-05,28823.160156,29025.789063,28734.810547,28961.599609,28961.599609,1951621500
2019-03-06,29003.250000,29122.810547,28938.390625,29037.599609,29037.599609,1794494900
2019-03-07,28965.419922,29007.070313,28772.449219,28779.449219,28779.449219,1691993300
2019-03-08,28409.140625,28533.759766,28201.089844,28228.419922,28228.419922,2998999600
2019-03-11,28265.849609,28512.269531,28240.779297,28503.300781,28503.300781,1525534800
2019-03-12,28920.869141,28920.869141,28920.869141,28920.869141,28920.869141,0
2019-03-13,28924.279297,28924.279297,28690.369141,28807.449219,28807.449219,1183090900
2019-03-14,28891.060547,28932.470703,28696.310547,28851.390625,28851.390625,1390223200
2019-03-15,28843.859375,29204.730469,28828.259766,29012.259766,29012.259766,1974569100
2019-03-18,29112.439453,29409.009766,29034.130859,29409.009766,29409.009766,1887811300
2019-03-19,29419.140625,29486.150391,29319.509766,29466.279297,29466.279297,1747657200
2019-03-20,29357.189453,29435.810547,29251.250000,29320.970703,29320.970703,1580528500
2019-03-21,29387.750000,29446.769531,29051.849609,29071.560547,29071.560547,1750672700
2019-03-22,29173.330078,29243.099609,28847.339844,29113.359375,29113.359375,1740699100
2019-03-25,28501.369141,28702.240234,28463.109375,28523.349609,28523.349609,2091121900
2019-03-26,28677.759766,28701.599609,28435.060547,28566.910156,28566.910156,1406624800
2019-03-27,28564.710938,28781.630859,28551.650391,28728.250000,28728.250000,1475536600
2019-03-28,28663.199219,28816.589844,28558.800781,28775.210938,28775.210938,1582079600
2019-03-29,28812.640625,29100.689453,28761.880859,29051.359375,29051.359375,2695223000
2019-04-01,29383.720703,29612.369141,29383.720703,29562.019531,29562.019531,2475412300
2019-04-02,29736.990234,29736.990234,29534.419922,29624.669922,29624.669922,1858466500
2019-04-03,29785.269531,29999.339844,29715.769531,29986.390625,29986.390625,2019434600
2019-04-04,29950.419922,30050.910156,29765.550781,29936.320313,29936.320313,1854467500
2019-04-08,30119.580078,30185.060547,29913.619141,30077.150391,30077.150391,2321011600
2019-04-09,30065.990234,30222.019531,30018.980469,30157.490234,30157.490234,2049354000
2019-04-10,30052.269531,30139.609375,29892.619141,30119.560547,30119.560547,1814064400
