Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,21812.810547,21860.390625,21740.919922,21822.039063,21822.039063,59100
2019-03-05,21712.800781,21798.380859,21659.039063,21726.279297,21726.279297,59200
2019-03-06,21659.029297,21684.599609,21550.449219,21596.810547,21596.810547,57100
2019-03-07,21456.880859,21472.160156,21402.119141,21456.009766,21456.009766,75200
2019-03-08,21339.169922,21359.320313,20993.070313,21025.560547,21025.560547,99800
2019-03-11,21062.750000,21145.939453,20938.000000,21125.089844,21125.089844,55600
2019-03-12,21361.609375,21568.480469,21348.810547,21503.689453,21503.689453,67800
2019-03-13,21425.769531,21474.169922,21198.990234,21290.240234,21290.240234,66200
2019-03-14,21474.580078,21522.750000,21287.019531,21287.019531,21287.019531,64100
2019-03-15,21376.730469,21521.679688,21374.849609,21450.849609,21450.849609,83200
2019-03-18,21576.359375,21612.669922,21500.320313,21584.500000,21584.500000,55200
2019-03-19,21558.429688,21585.550781,21425.789063,21566.849609,21566.849609,59900
2019-03-20,21548.650391,21614.169922,21499.160156,21608.919922,21608.919922,65300
2019-03-22,21713.259766,21713.259766,21542.029297,21627.339844,21627.339844,78900
2019-03-25,21267.410156,21275.429688,20911.570313,20977.109375,20977.109375,77700
2019-03-26,21174.339844,21460.990234,21174.339844,21428.390625,21428.390625,101300
2019-03-27,21353.609375,21388.589844,21242.519531,21378.730469,21378.730469,76000
2019-03-28,21191.320313,21191.320313,20974.189453,21033.759766,21033.759766,71100
2019-03-29,21228.509766,21267.250000,21149.419922,21205.810547,21205.810547,61600
2019-04-01,21500.890625,21682.939453,21471.119141,21509.029297,21509.029297,77400
2019-04-02,21744.640625,21744.640625,21490.560547,21505.310547,21505.310547,71000
2019-04-03,21563.640625,21722.720703,21489.949219,21713.210938,21713.210938,68500
2019-04-04,21724.689453,21787.599609,21662.900391,21724.949219,21724.949219,57900
2019-04-05,21743.140625,21839.179688,21731.339844,21807.500000,21807.500000,58500
2019-04-08,21900.550781,21900.550781,21740.529297,21761.650391,21761.650391,54600
2019-04-09,21750.289063,21811.880859,21698.419922,21802.589844,21802.589844,54300
2019-04-10,21579.679688,21687.570313,21571.669922,21687.570313,21687.570313,58700
2019-04-11,21662.650391,21721.419922,21627.869141,21711.380859,21711.380859,61200
2019-04-12,21782.349609,21878.779297,21698.710938,21870.560547,21870.560547,61600
2019-04-15,22122.970703,22211.029297,22102.929688,22169.109375,22169.109375,66100
2019-04-16,22108.150391,22261.330078,22095.320313,22221.660156,22221.660156,57300
2019-04-17,22236.410156,22345.189453,22185.869141,22277.970703,22277.970703,75400
2019-04-18,22274.130859,22305.630859,22058.390625,22090.119141,22090.119141,67300
2019-04-19,22238.070313,22250.369141,22162.230469,22200.560547,22200.560547,0
2019-04-22,22188.619141,22280.189453,22099.380859,22217.900391,22217.900391,42900
2019-04-23,22241.740234,22268.369141,22119.939453,22259.740234,22259.740234,52000
2019-04-24,22356.830078,22362.919922,22125.480469,22200.000000,22200.000000,67900
2019-04-25,22183.320313,22334.689453,22155.230469,22307.580078,22307.580078,63300
2019-04-26,22167.480469,22270.289063,22073.099609,22258.730469,22258.730469,71900
2019-05-07,22184.400391,22190.490234,21875.109375,21923.720703,21923.720703,90700
2019-05-08,21628.039063,21639.119141,21514.849609,21602.589844,21602.589844,85700
2019-05-09,21492.910156,21559.759766,21315.070313,21402.130859,21402.130859,96900
2019-05-10,21431.810547,21584.089844,21175.330078,21344.919922,21344.919922,98500
2019-05-13,21180.740234,21277.660156,21127.929688,21191.279297,21191.279297,74500
2019-05-14,20870.769531,21077.480469,20751.449219,21067.230469,21067.230469,90200
2019-05-15,21112.849609,21191.529297,20968.080078,21188.560547,21188.560547,84100
2019-05-16,21153.199219,21153.199219,20951.669922,21062.980469,21062.980469,82500
2019-05-17,21246.859375,21398.849609,21199.980469,21250.089844,21250.089844,75800
2019-05-20,21305.970703,21430.060547,21282.650391,21301.730469,21301.730469,65100
2019-05-21,21211.259766,21318.800781,21160.429688,21272.449219,21272.449219,70100
2019-05-22,21373.519531,21404.539063,21266.980469,21283.369141,21283.369141,64500
2019-05-23,21180.240234,21209.560547,21072.720703,21151.140625,21151.140625,63900
2019-05-24,20980.789063,21117.220703,20922.000000,21117.220703,21117.220703,67700
2019-05-27,21148.460938,21232.380859,21113.759766,21182.580078,21182.580078,41600
2019-05-28,21187.169922,21297.699219,21177.269531,21260.140625,21260.140625,98500
2019-05-29,21055.419922,21071.730469,20884.609375,21003.369141,21003.369141,70000
2019-05-30,20881.500000,20942.529297,20809.289063,20942.529297,20942.529297,58700
2019-05-31,20785.210938,20823.099609,20581.580078,20601.189453,20601.189453,79100
2019-06-03,20327.869141,20438.029297,20305.740234,20410.880859,20410.880859,67400
2019-06-04,20435.859375,20464.570313,20289.640625,20408.539063,20408.539063,69200
2019-06-05,20667.890625,20800.640625,20646.150391,20776.099609,20776.099609,72300
2019-06-06,20745.839844,20842.279297,20745.839844,20774.039063,20774.039063,59600
2019-06-07,20859.779297,20907.769531,20816.580078,20884.710938,20884.710938,50700
2019-06-10,21095.400391,21166.119141,21077.949219,21134.419922,21134.419922,58200
2019-06-11,21099.539063,21227.179688,21066.619141,21204.279297,21204.279297,52100
2019-06-12,21130.390625,21259.699219,21118.750000,21129.720703,21129.720703,56500
2019-06-13,21040.910156,21111.230469,20932.130859,21032.000000,21032.000000,65700
2019-06-14,21049.410156,21119.730469,20971.179688,21116.890625,21116.890625,60400
2019-06-17,21094.960938,21185.250000,21044.619141,21124.000000,21124.000000,49100
2019-06-18,21111.769531,21153.650391,20924.189453,20972.710938,20972.710938,54600
2019-06-19,21223.169922,21358.720703,21213.429688,21333.869141,21333.869141,64100
2019-06-20,21417.740234,21491.390625,21377.269531,21462.859375,21462.859375,55700
2019-06-21,21487.669922,21497.820313,21221.699219,21258.640625,21258.640625,89000
2019-06-24,21223.560547,21317.859375,21185.669922,21285.990234,21285.990234,43200
2019-06-25,21238.070313,21313.769531,21114.470703,21193.810547,21193.810547,53900
2019-06-26,21067.679688,21129.640625,21035.839844,21086.589844,21086.589844,50300
2019-06-27,21156.880859,21338.169922,21123.970703,21338.169922,21338.169922,61300
2019-06-28,21282.220703,21324.929688,21199.849609,21275.919922,21275.919922,62100
2019-07-01,21566.269531,21758.339844,21559.169922,21729.970703,21729.970703,66900
2019-07-02,21699.429688,21784.220703,21697.310547,21754.269531,21754.269531,54700
2019-07-03,21684.070313,21708.720703,21566.650391,21638.160156,21638.160156,55000
2019-07-04,21740.929688,21755.630859,21672.500000,21702.449219,21702.449219,37800
2019-07-05,21703.609375,21746.380859,21647.730469,21746.380859,21746.380859,44800
2019-07-08,21665.789063,21672.650391,21499.570313,21534.349609,21534.349609,51900
2019-07-09,21598.150391,21687.289063,21508.220703,21565.150391,21565.150391,53900
2019-07-10,21499.460938,21601.859375,21488.220703,21533.480469,21533.480469,58900
2019-07-11,21547.189453,21649.929688,21532.570313,21643.529297,21643.529297,49600
2019-07-12,21720.140625,21720.140625,21589.830078,21685.900391,21685.900391,45400
2019-07-16,21644.380859,21655.519531,21514.890625,21535.250000,21535.250000,49800
2019-07-17,21474.630859,21488.269531,21380.550781,21469.179688,21469.179688,53300
2019-07-18,21336.800781,21347.839844,20993.439453,21046.240234,21046.240234,70200
2019-07-19,21146.500000,21474.300781,21121.900391,21466.990234,21466.990234,57900
2019-07-22,21394.750000,21445.029297,21317.849609,21416.789063,21416.789063,46900
2019-07-23,21425.439453,21686.529297,21411.929688,21620.880859,21620.880859,48100
2019-07-24,21726.980469,21744.880859,21677.710938,21709.570313,21709.570313,51100
2019-07-25,21715.949219,21823.070313,21715.689453,21756.550781,21756.550781,46900
2019-07-26,21700.199219,21709.740234,21590.660156,21658.150391,21658.150391,47600
2019-07-29,21627.550781,21652.949219,21518.699219,21616.800781,21616.800781,47000
2019-07-30,21681.820313,21792.980469,21665.859375,21709.310547,21709.310547,54500
2019-07-31,21526.380859,21589.109375,21476.070313,21521.529297,21521.529297,76500
2019-08-01,21361.580078,21556.689453,21288.900391,21540.990234,21540.990234,75700
2019-08-02,21211.060547,21211.060547,20960.089844,21087.160156,21087.160156,91500
2019-08-05,20909.980469,20941.830078,20514.189453,20720.289063,20720.289063,85800
